gene_symbol,0
MT-RNR2,6650.0
MT-RNR1,5189.0
MT-CO2,3482.0
EEF1A1,3466.0
MT-CYB,3116.0
MT-ND4,2330.0
S100A4,2321.0
FTL,2195.0
MT-ATP6,1898.0
RPS3,1740.0
RPLP1,1648.0
GAPDH,1608.0
ANXA2,1593.0
RPLP0,1577.0
RPL13A,1449.0
RPL3,1408.0
RPL10,1273.0
RPS19,1234.0
RPS18,1218.0
RPL8,1206.0
RPS14,1197.0
S100A6,1190.0
MT-CO3,1188.0
TMSB4X,1141.0
S100A10,1130.0
RPS6,1117.0
GSTP1,1053.0
RPL19,1033.0
KRT18,1032.0
MT-ND2,1015.0
RPL11,998.0
RPS3A,996.0
MYL6,991.0
MT-CO1,949.0
RPL7,948.0
RPL27A,943.0
RPL13,940.0
RACK1,886.0
RPS23,877.0
RPL31,865.0
RPL7A,857.0
RPL41,850.0
MT-ND5,850.0
RPL21,819.0
RPL37A,813.0
ACTG1,809.0
MALAT1,796.0
H19,788.0
RPL4,783.0
RPL15,773.0
RPL5,773.0
RPS27A,756.0
FTH1,733.0
RPL23A,728.0
PRDX1,703.0
RPL18A,700.0
S100A11,689.0
RPS13,685.0
OLFML3,665.0
RPS27,649.0
RPLP2,647.0
MT-ND1,646.0
RPL6,645.0
RPL29,616.0
TMSB10,611.0
RPS24,602.0
ACTB,582.0
RPL18,575.0
RPL32,557.0
PPIA,551.0
UBB,548.0
RPS4X,547.0
RPS12,542.0
RPS20,529.0
RPL12,523.0
RPS11,518.0
PRDX6,503.0
RPS16,501.0
RPL35A,496.0
RPL9,470.0
RPL24,468.0
RPS8,461.0
RPS15,461.0
RPL34,454.0
UBC,453.0
IGFBP5,447.0
TPI1,446.0
RPL36,436.0
RPSA,435.0
COL1A2,431.0
RPS25,424.0
RPL27,421.0
RPS29,414.0
UBA52,408.0
RPL10A,397.0
GAS5,396.0
RPS5,384.0
EEF1B2,383.0
TXN,380.0
SNHG29,376.0
RPL39,370.0
COX4I1,369.0
SPARC,366.0
IFITM3,365.0
RPL30,364.0
RPL37,362.0
SNRPD2,351.0
CD63,343.0
ENO1,341.0
NPM1,340.0
COX7C,338.0
B2M,336.0
PPIB,334.0
SERF2,334.0
ENSG00000291063,329.0
IFITM2,325.0
RPL35,324.0
TALAM1,317.0
HSP90AB1,317.0
SLC25A5,313.0
HNRNPA1,312.0
MTATP6P1,311.0
RPS15A,310.0
TSPO,308.0
RPS2,307.0
VIM,303.0
SRP14,303.0
TPT1,298.0
COPS6,296.0
UCP2,295.0
RPS28,294.0
EMP2,286.0
OST4,281.0
RPS7,281.0
LDHB,273.0
MFAP5,272.0
ADIRF,271.0
RPL23,266.0
ENSG00000269968,265.0
RPL26,263.0
NEDD8,261.0
MT-ND3,255.0
S100A16,253.0
TGFBI,252.0
SOD1,251.0
RPL38,250.0
TPM2,249.0
NACA,247.0
RPL14,245.0
SELENOW,244.0
ANXA5,243.0
LDHA,243.0
FAU,242.0
ELOB,230.0
PFN1,224.0
PSMB5,221.0
H3-3B,217.0
HINT1,217.0
FLNB,216.0
NQO1,214.0
HSP90AA1,213.0
ANXA1,211.0
ATP5MC3,208.0
AKAP12,208.0
CHCHD2,207.0
BEST1,206.0
EEF1D,202.0
NDUFS5,201.0
COX5B,200.0
NDUFA4,200.0
LGALS3,200.0
SLC25A3,199.0
RPS27L,195.0
S100A13,195.0
MRFAP1,192.0
UQCRH,192.0
GSN,191.0
COX6C,191.0
KRT8,190.0
CRABP2,188.0
BCAT1,187.0
BTF3,186.0
OAZ1,182.0
CD59,182.0
RGS2,181.0
ATP5PD,181.0
PSMB1,180.0
ARPC3,179.0
NDUFA1,177.0
MRPL51,175.0
PRDX5,174.0
ATP5F1B,173.0
C4orf3,172.0
EIF3L,172.0
MIF,172.0
LGALS1,170.0
IGF2,169.0
MYL12B,167.0
PCOLCE,166.0
ATP5F1E,166.0
TPM1,164.0
PTMA,163.0
TIMM13,163.0
H3-3A,161.0
EIF3K,160.0
RPS9,158.0
DSTN,157.0
EIF4A2,157.0
FDPS,157.0
PALLD,156.0
ATP5F1A,155.0
SSR2,155.0
ILF2,155.0
ATP5MC2,154.0
ANXA4,154.0
RPS21,153.0
WARS1,152.0
PLAT,151.0
TMA7,151.0
RHOA,150.0
P4HB,150.0
APRT,150.0
ARPC2,150.0
TXN2,150.0
RPL36A,149.0
SPINT2,148.0
H2AZ1,148.0
C19orf53,147.0
BRK1,147.0
TRMT112,147.0
SNHG3,145.0
PDHB,145.0
HSP90B1,145.0
UQCRQ,145.0
AKR1C1,144.0
CLIC1,143.0
ATP5IF1,143.0
IGFBP6,142.0
ABT1,141.0
PRDX2,141.0
COX7A2,141.0
EIF3H,140.0
UQCRB,140.0
RPS17,139.0
TMEM14B,138.0
PIR,137.0
CALU,137.0
COX6B1,136.0
CCDC80,136.0
PPA1,134.0
SNHG5,134.0
PHB1,134.0
IGFBP3,134.0
CSTB,133.0
CCT5,133.0
POLR1D,133.0
TKT,133.0
TMBIM6,132.0
RPS4Y1,132.0
PABPC1,131.0
HSPA8,130.0
NDUFV1,130.0
PCBP1,128.0
CTSC,127.0
YWHAZ,127.0
COX5A,125.0
DDX5,125.0
MT-ND4L,125.0
MMP2,125.0
MMACHC,125.0
PSMB7,124.0
RNF7,122.0
NPC2,122.0
AKR1A1,122.0
PRSS3,122.0
CD83,122.0
PSMB4,121.0
EIF1,121.0
CNBP,120.0
SH3BGRL3,120.0
KPNA2,120.0
EIF3F,120.0
SUMO2,119.0
BEX3,119.0
TRAPPC2L,119.0
RAN,119.0
ATRAID,119.0
TAGLN,118.0
PXN,117.0
HNRNPC,117.0
COX6A1,117.0
UBL5,117.0
ERGIC3,117.0
ENSG00000289850,116.0
TOMM7,116.0
ATP5MJ,115.0
CHMP2A,115.0
POLR2L,115.0
SEC31A,115.0
NOSIP,114.0
LAMTOR5,114.0
ATP5PF,114.0
TMEM59,114.0
CUEDC2,114.0
GHITM,114.0
SPP1,114.0
YWHAB,114.0
LRRC75A,114.0
GNAS,113.0
NDUFB11,113.0
RPS10,112.0
RBM3,112.0
TMEM106C,112.0
HMGB1,111.0
TMEM205,110.0
SSBP1,110.0
SLC25A39,110.0
MLLT11,110.0
SDCBP,109.0
ATP5MK,109.0
PEBP1,108.0
RTRAF,108.0
UROD,108.0
CALM2,107.0
CD24,107.0
TIMP1,107.0
CAVIN3,107.0
NUTF2,107.0
COX8A,106.0
ATP5MC1,106.0
PAPSS1,106.0
NME1,106.0
GRN,106.0
RPL28,106.0
DYNLT1,105.0
GUK1,105.0
TSEN34,105.0
EIF3G,104.0
ECH1,104.0
ROMO1,104.0
TMEM258,103.0
LAMTOR4,103.0
SQSTM1,103.0
GPX4,102.0
DBI,101.0
GPI,101.0
PHPT1,101.0
PARK7,101.0
SSR4,101.0
COL3A1,101.0
ATP6V0E1,100.0
TMEM50A,100.0
MRPS21,99.0
EIF3D,99.0
GGH,99.0
PSMA4,98.0
PDLIM1,98.0
UBE2E3,98.0
DPM2,97.0
TUBA1C,97.0
SERBP1,97.0
TAX1BP1,97.0
RPL17,97.0
ADIRF-AS1,97.0
SNX22,97.0
MRPL20,96.0
PPA2,96.0
CYC1,96.0
UCHL1,96.0
SEC61B,95.0
NHP2,95.0
PPL,95.0
PGK1,95.0
EXOSC7,94.0
LAPTM4A,94.0
PRDX3,94.0
HSPD1,94.0
TUBB,94.0
HSPA5,93.0
ATP5F1C,93.0
JAGN1,93.0
VDAC1,92.0
VDAC2,92.0
LRPAP1,92.0
RPAIN,91.0
FSTL1,91.0
RPL22,91.0
EIF3E,91.0
DYNLL1,91.0
ANAPC11,90.0
RPL36AL,90.0
ANAPC13,90.0
CDC42EP3,90.0
CTSL,89.0
MORF4L1,89.0
CLIC3,89.0
SCNM1,89.0
HNRNPF,89.0
PSMB3,89.0
SLIRP,89.0
DST,88.0
CAST,88.0
PDIA6,87.0
NDUFB8,87.0
ITGB1,87.0
DYNC1LI2,86.0
RPL22L1,86.0
PSMC3,86.0
MLF2,86.0
CFL1,86.0
SURF4,86.0
NDUFA13,86.0
NDUFAB1,85.0
ATP5MG,85.0
FAM32A,85.0
HDLBP,85.0
HIF1A,84.0
NOP16,83.0
MMADHC,83.0
GRHPR,83.0
ANXA3,83.0
CALM1,83.0
VPS28,82.0
SEC11A,82.0
ZFAS1,82.0
FKBP1A,82.0
MT-ATP8,81.0
VDAC3,81.0
PDXK,81.0
KARS1,81.0
DHCR24,81.0
BANF1,81.0
GNL2,81.0
PLAAT3,81.0
SNU13,81.0
TMEM14C,81.0
C1orf43,80.0
ATP5PB,80.0
